site_id,elevation,shore,snow_t,snow_t1,date,year,day,order,pit_tag_ref,donor,sex,length,weight,bd_load,survival
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012023067,72996,m,47,9,144,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012024185,72996,m,53,15,2160,1
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012024211,72996,m,47,11,4272,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012024601,72996,m,44,10,5520,1
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012025837,72996,m,46,9,48,1
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012026041,72996,m,46,10,96,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012027480,72996,m,47,10,144,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012027520,72996,m,50,11,48288,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012027625,72996,m,47,11,20928,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012028461,72996,f,52,14,96,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012028793,72996,m,49,10,3120,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012029320,72996,f,50,12,240,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012029588,72996,m,53,14,5040,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012029728,72996,m,43,8,192,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012030900,72996,f,51,13,2928,0.5
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012031389,72996,f,50,11,0,0.5
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012033178,72996,m,51,12,3216,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012052049,72996,m,47,8,672.0000000000001,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012056454,72996,f,59,16,2880,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013699370,72996,m,51,13,46175.99999999999,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013700755,72996,m,48,10,44496,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013701012,72996,f,44,11,240,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013702881,72996,f,52,14,1392,0.5
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013704817,72996,f,56,18,1584,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013705102,72996,m,42,8,5856,1
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013706912,72996,m,46,9,384,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013709017,72996,m,48,9,1488,0
