STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,M,3,SNOW WC,19850201 0000,19850130 0000,20.1,,INCHES
DAN,M,3,SNOW WC,19850301 0000,19850226 0000,22.1,,INCHES
DAN,M,3,SNOW WC,19850401 0000,19850326 0000,25.1,,INCHES
DAN,M,3,SNOW WC,19850501 0000,19850427 0000,21.8,,INCHES
DAN,M,3,SNOW WC,19860201 0000,19860129 0000,17.4,,INCHES
DAN,M,3,SNOW WC,19860301 0000,19860227 0000,41.6,,INCHES
DAN,M,3,SNOW WC,19860401 0000,19860401 0000,47.9,,INCHES
DAN,M,3,SNOW WC,19860501 0000,19860426 0000,49.8,,INCHES
DAN,M,3,SNOW WC,19870201 0000,19870128 0000,5.6,,INCHES
DAN,M,3,SNOW WC,19870301 0000,19870302 0000,11.4,,INCHES
DAN,M,3,SNOW WC,19870401 0000,19870401 0000,18.5,,INCHES
DAN,M,3,SNOW WC,19870501 0000,19870430 0000,8.6,,INCHES
DAN,M,3,SNOW WC,19880201 0000,19880127 0000,21,,INCHES
DAN,M,3,SNOW WC,19880301 0000,19880228 0000,19.7,,INCHES
DAN,M,3,SNOW WC,19880401 0000,19880330 0000,19.7,,INCHES
DAN,M,3,SNOW WC,19880501 0000,19880427 0000,14.6,,INCHES
DAN,M,3,SNOW WC,19890201 0000,19890201 0000,17.2,,INCHES
DAN,M,3,SNOW WC,19890301 0000,19890228 0000,18.5,,INCHES
DAN,M,3,SNOW WC,19890401 0000,19890330 0000,26.3,,INCHES
DAN,M,3,SNOW WC,19890501 0000,19890429 0000,21.2,,INCHES
DAN,M,3,SNOW WC,19900101 0000,19900101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19900201 0000,19900201 0000,5.4,,INCHES
DAN,M,3,SNOW WC,19900301 0000,19900225 0000,14.5,,INCHES
DAN,M,3,SNOW WC,19900401 0000,19900401 0000,15.2,,INCHES
DAN,M,3,SNOW WC,19900501 0000,19900426 0000,10.4,,INCHES
DAN,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19910101 0000,19910101 0000,0,,INCHES
DAN,M,3,SNOW WC,19910201 0000,19910129 0000,2.5,,INCHES
DAN,M,3,SNOW WC,19910301 0000,19910227 0000,3.7,,INCHES
DAN,M,3,SNOW WC,19910401 0000,19910327 0000,21.4,,INCHES
DAN,M,3,SNOW WC,19910501 0000,19910425 0000,19.8,,INCHES
DAN,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19920201 0000,19920130 0000,9.4,,INCHES
DAN,M,3,SNOW WC,19920301 0000,19920226 0000,15.9,,INCHES
DAN,M,3,SNOW WC,19920401 0000,19920328 0000,17.3,,INCHES
DAN,M,3,SNOW WC,19920501 0000,19920425 0000,12.1,,INCHES
DAN,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19930201 0000,19930125 0000,28.4,,INCHES
DAN,M,3,SNOW WC,19930301 0000,19930224 0000,37.4,,INCHES
DAN,M,3,SNOW WC,19930401 0000,19930327 0000,41.1,,INCHES
DAN,M,3,SNOW WC,19930501 0000,19930424 0000,42.4,,INCHES
DAN,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19940201 0000,19940131 0000,7.1,,INCHES
DAN,M,3,SNOW WC,19940301 0000,19940225 0000,13.8,,INCHES
DAN,M,3,SNOW WC,19940401 0000,19940329 0000,17.6,,INCHES
DAN,M,3,SNOW WC,19940501 0000,19940428 0000,13.1,,INCHES
DAN,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19950201 0000,19950128 0000,32,,INCHES
DAN,M,3,SNOW WC,19950301 0000,19950222 0000,33.4,,INCHES
DAN,M,3,SNOW WC,19950401 0000,19950326 0000,52.5,,INCHES
DAN,M,3,SNOW WC,19950501 0000,19950427 0000,52.3,,INCHES
DAN,M,3,SNOW WC,19950601 0000,19950601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19950701 0000,19950701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19960101 0000,19960101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19960201 0000,19960126 0000,16.4,,INCHES
DAN,M,3,SNOW WC,19960301 0000,19960223 0000,31.2,,INCHES
DAN,M,3,SNOW WC,19960401 0000,19960325 0000,35.7,,INCHES
DAN,M,3,SNOW WC,19960501 0000,19960427 0000,37.5,,INCHES
DAN,M,3,SNOW WC,19960601 0000,19960601 0000,---, ,INCHES
DAN,M,3,SNOW WC,19960701 0000,19960701 0000,---, ,INCHES
DAN,M,3,SNOW WC,19970101 0000,19970101 0000,---, ,INCHES
DAN,M,3,SNOW WC,19970201 0000,19970130 0000,48.3,,INCHES
DAN,M,3,SNOW WC,19970301 0000,19970223 0000,43.8,,INCHES
DAN,M,3,SNOW WC,19970401 0000,19970330 0000,40,,INCHES
