site_id,visit_date,survey_type,capture_life_stage,capture_animal_state,pit_tag_ref,sex
70279,2013-08-25,cmr,adult,healthy,900118001029179,m
70279,2013-08-25,cmr,adult,healthy,985121019071757,f
70279,2013-08-27,cmr,adult,healthy,900118001030621,f
70550,2014-06-24,cmr,adult,healthy,900118001030217,f
70413,2013-08-25,cmr,adult,healthy,900118001029880,f
70279,2013-08-11,cmr,adult,healthy,900118001029880,f
70550,2013-08-08,cmr,adult,healthy,900118001058971,m
70505,2013-07-26,cmr,adult,healthy,985121019100487,f
70413,2013-08-25,cmr,adult,healthy,900118001028945,f
70413,2013-08-14,cmr,adult,healthy,900118001029981,f
70550,2013-08-14,cmr,adult,healthy,900118001028223,f
70550,2013-08-14,cmr,adult,healthy,985121019062559,m
70550,2013-08-14,cmr,adult,healthy,900118001065754,f
70505,2013-07-26,cmr,adult,healthy,900118001058985,m
70505,2013-07-26,cmr,adult,healthy,900118001060646,f
70413,2013-08-12,cmr,adult,healthy,900118001027943,f
70413,2013-08-12,cmr,adult,healthy,900118001029701,f
70413,2013-08-12,cmr,adult,healthy,900118001029743,f
70505,2013-07-26,cmr,adult,healthy,900118001027915,f
70413,2013-08-12,cmr,adult,healthy,900118001030121,m
70505,2013-07-26,cmr,adult,healthy,900118001058090,f
70550,2014-06-24,cmr,adult,healthy,900118001028229,f
70550,2014-06-24,cmr,adult,healthy,900118001029455,f
70550,2014-06-24,cmr,adult,healthy,900118001029514,m
70550,2014-06-24,cmr,adult,healthy,900118001029860,f
70550,2014-06-24,cmr,adult,healthy,900118001057441,f
70550,2014-06-24,cmr,adult,healthy,900118001057927,f
70550,2014-06-24,cmr,adult,healthy,900118001058634,f
70449,2015-06-20,cmr,adult,healthy,900043000104540,m
70449,2014-07-10,cmr,adult,healthy,900043000104505,m
70449,2014-07-10,cmr,adult,healthy,900043000104510,f
70449,2014-07-10,cmr,adult,healthy,900043000104516,f
70550,2015-08-06,cmr,adult,healthy,900043000108056,f
70550,2015-08-06,cmr,adult,healthy,900043000108121,f
70550,2015-08-06,cmr,adult,healthy,900043000108134,m
70550,2015-08-06,cmr,adult,healthy,900043000108159,m
70550,2015-08-06,cmr,adult,healthy,900118001027920,f
70550,2015-08-06,cmr,adult,healthy,900118001029284,f
70550,2015-08-06,cmr,adult,healthy,900118001029486,f
70550,2015-08-06,cmr,adult,healthy,900118001029695,m
70550,2018-08-17,cmr,adult,healthy,900067000113886,f
70550,2018-08-17,cmr,adult,healthy,900067000114071,m
70550,2018-08-17,cmr,adult,healthy,900067000114086,m
70550,2018-08-17,cmr,adult,healthy,900067000114139,m
70550,2018-08-17,cmr,adult,healthy,900067000114214,m
70550,2018-08-17,cmr,adult,healthy,900067000114240,m
70550,2018-08-17,cmr,adult,healthy,900067000114273,f
70550,2018-08-17,cmr,adult,healthy,900067000117268,f
70550,2018-08-17,cmr,adult,healthy,900067000117271,m
70550,2018-08-17,cmr,adult,healthy,900067000117282,m
70550,2018-08-17,cmr,adult,healthy,900067000117293,m
70550,2018-08-17,cmr,adult,healthy,900067000117295,m
70550,2018-08-17,cmr,adult,healthy,900067000117351,f
70449,2014-07-10,cmr,adult,healthy,900043000104529,f
70449,2014-07-10,cmr,adult,healthy,900043000104539,f
70550,2018-08-17,cmr,adult,healthy,900067000117450,f
70449,2014-07-10,cmr,adult,healthy,900043000104543,m
70449,2014-07-10,cmr,adult,healthy,900043000104554,m
70550,2018-08-17,cmr,adult,healthy,900067000117600,m
70550,2018-08-17,cmr,adult,healthy,900067000117633,f
70449,2014-07-10,cmr,adult,healthy,900043000104567,f
70449,2014-07-10,cmr,adult,healthy,900043000104587,f
70449,2014-07-10,cmr,adult,healthy,900043000104599,m
70413,2014-07-10,cmr,adult,healthy,900118001028945,f
70550,2013-07-26,cmr,adult,healthy,900118001058841,f
70413,2014-07-10,cmr,adult,healthy,900118001029071,f
70449,2014-07-10,cmr,adult,healthy,900118001029229,f
70413,2014-07-10,cmr,adult,healthy,900118001029981,f
70413,2014-07-10,cmr,adult,healthy,900118001030201,f
70413,2014-07-10,cmr,adult,healthy,900118001030340,m
70449,2014-07-11,cmr,adult,healthy,900043000104522,m
70449,2014-07-11,cmr,adult,sick,900043000104524,f
70449,2014-07-11,cmr,adult,healthy,900043000104529,f
70550,2013-08-04,cmr,adult,healthy,118001059380,m
70550,2013-08-14,cmr,adult,healthy,118001059380,m
70550,2013-09-11,cmr,adult,healthy,900118001029860,f
70413,2013-08-03,cmr,adult,healthy,900118001030340,m
70550,2013-08-14,cmr,adult,healthy,900118001030750,f
70505,2013-08-16,cmr,adult,healthy,900118001057400,f
70505,2013-08-05,cmr,adult,healthy,900118001057400,f
70505,2013-08-02,cmr,adult,healthy,900118001057400,f
70505,2013-08-05,cmr,adult,healthy,900118001029978,m
70505,2013-08-02,cmr,adult,healthy,900118001029978,m
70505,2013-08-16,cmr,adult,healthy,900118001027915,f
70505,2013-08-05,cmr,adult,healthy,900118001027915,f
70449,2014-07-11,cmr,adult,healthy,900043000104531,f
70449,2014-07-11,cmr,adult,healthy,900043000104532,f
70449,2014-07-11,cmr,adult,healthy,900043000104549,m
70449,2014-07-11,cmr,adult,healthy,900043000104553,f
70449,2014-07-11,cmr,adult,healthy,900043000104554,m
70449,2014-07-11,cmr,adult,healthy,900043000104556,f
70449,2014-07-11,cmr,adult,healthy,900043000104561,m
70449,2014-07-11,cmr,adult,healthy,900043000104567,f
70449,2014-07-11,cmr,adult,healthy,900043000104568,f
70449,2014-07-11,cmr,adult,healthy,900043000104587,f
70449,2014-07-11,cmr,adult,healthy,900043000104589,f
70449,2014-07-11,cmr,adult,healthy,900043000104594,m
