site_id,release_date,years_since_intro,pit_tag_ref,median_survival
70505,2008-07-15,1,985121012031889,0
70505,2008-07-15,1,985121012034712,0
70505,2008-07-15,1,985121012035780,1
70505,2008-07-15,1,985121012055247,1
70505,2008-07-15,1,985153000075201,0
70505,2008-07-15,1,985153000075205,0
70505,2008-07-15,1,985153000075208,0
70505,2008-07-15,1,985153000075219,1
70505,2008-07-15,1,985153000075228,0
70505,2008-07-15,1,985153000075233,0.25
70505,2008-07-15,1,985153000075235,0
70505,2008-07-15,1,985153000075236,0
70505,2008-07-15,1,985153000075239,0
70505,2008-07-15,1,985153000075244,0
70505,2008-07-15,1,985153000075252,0
70505,2008-07-15,1,985153000075269,0
70505,2008-07-15,1,985153000075273,0
70505,2008-07-15,1,985153000075284,0
70505,2008-07-15,1,985153000075285,0
70505,2008-07-15,1,985153000075295,0
70505,2013-07-16,1,121012035780,0
70505,2013-07-16,1,900118001027915,0
70505,2013-07-16,1,900118001029790,1
70505,2013-07-16,1,900118001029978,0
70505,2013-07-16,1,900118001030064,0
70505,2013-07-16,1,900118001030547,0
70505,2013-07-16,1,900118001031300,0
70505,2013-07-16,1,900118001031708,0
70505,2013-07-16,1,900118001057400,0
70505,2013-07-16,1,900118001057931,1
70505,2013-07-16,1,900118001057979,0
70505,2013-07-16,1,900118001058038,0
70505,2013-07-16,1,900118001058090,0
70505,2013-07-16,1,900118001058319,0
70505,2013-07-16,1,900118001058985,0
70505,2013-07-16,1,900118001059649,0
70505,2013-07-16,1,900118001059787,1
70505,2013-07-16,1,900118001060646,0
70505,2013-07-16,1,900118001065405,0
70505,2015-07-06,1,900043000108202,0
70505,2015-07-06,1,900043000108208,0
70505,2015-07-06,1,900043000108215,0
70505,2015-07-06,1,900043000108229,0
70505,2015-07-06,1,900043000108230,0
70505,2015-07-06,1,900043000108235,0
70505,2015-07-06,1,900043000108241,0
70505,2015-07-06,1,900043000108242,0
70505,2015-07-06,1,900043000108271,1
70505,2015-07-06,1,900043000108280,0
70505,2015-07-06,1,900043000108289,0
70505,2015-07-06,1,900043000108294,0
70505,2015-07-06,1,900043000108311,0
70505,2015-07-06,1,900043000108326,0
70505,2015-07-06,1,900043000108351,0
70505,2015-07-06,1,900043000108353,0
70505,2015-07-06,1,900043000108359,1
70505,2015-07-06,1,900043000108364,0
70505,2015-07-06,1,900043000108373,0
70505,2015-07-06,1,900043000108392,0
70505,2017-08-09,1,900067000113895,0
70505,2017-08-09,1,900067000113939,0
70505,2017-08-09,1,900067000113978,0
70505,2017-08-09,1,900067000114081,0
70505,2017-08-09,1,900067000114085,0
70505,2017-08-09,1,900067000114089,0
70505,2017-08-09,1,900067000114092,0
70505,2017-08-09,1,900067000114097,0
70505,2017-08-09,1,900067000114102,0
70505,2017-08-09,1,900067000114105,1
70505,2017-08-09,1,900067000114112,0
70505,2017-08-09,1,900067000114115,0
70505,2017-08-09,1,900067000114119,0
70505,2017-08-09,1,900067000114123,0
70505,2017-08-09,1,900067000114126,0
70505,2017-08-09,1,900067000114128,0
70505,2017-08-09,1,900067000114145,0
70505,2017-08-09,1,900067000114147,0
70505,2017-08-09,1,900067000114150,0
70505,2017-08-09,1,900067000114152,0
70505,2017-08-09,1,900067000114153,0
70505,2017-08-09,1,900067000114157,0
70505,2017-08-09,1,900067000114159,0
70505,2017-08-09,1,900067000114164,0
70505,2017-08-09,1,900067000114168,1
70505,2017-08-09,1,900067000114179,1
70505,2017-08-09,1,900067000114765,0
70505,2017-08-09,1,900067000116860,0
70505,2017-08-09,1,900067000116900,0
70505,2017-08-09,1,900067000116911,0
70550,2006-08-07,1,062374570,1
70550,2006-08-07,1,080045534,0.2
70550,2006-08-07,1,080045779,1
70550,2006-08-07,1,080048769,0.4
70550,2006-08-07,1,080052585,0.8
70550,2006-08-07,1,080068126,0
70550,2006-08-07,1,080374566,0
70550,2006-08-07,1,090873349,1
70550,2006-08-07,1,090891807,0
70550,2006-08-07,1,091020125,0
70550,2006-08-07,1,091021044,1
70550,2006-08-07,1,091022277,1
70550,2006-08-07,1,091034860,0
70550,2006-08-07,1,091063878,0
70550,2006-08-07,1,091066872,0
70550,2006-08-07,1,091072047,1
70550,2006-08-07,1,091094305,0.2
70550,2006-08-07,1,091110803,1
70550,2006-08-07,1,091120768,1
70550,2006-08-07,1,091315561,1
70550,2006-08-07,1,091318870,1
70550,2006-08-07,1,091320558,1
70550,2006-08-07,1,091336278,1
70550,2006-08-07,1,091344771,1
70550,2006-08-07,1,091346622,0.2
70550,2006-08-07,1,091356306,0.2
70550,2006-08-07,1,091356534,1
70550,2006-08-07,1,091357564,0.2
70550,2006-08-07,1,091515292,0
70550,2006-08-07,1,091529336,0
70550,2006-08-07,1,091530379,1
70550,2006-08-07,1,091571769,1
70550,2006-08-07,1,091572056,0
70550,2006-08-07,1,091573095,1
70550,2006-08-07,1,091575537,1
70550,2006-08-07,1,091582279,0.2
70550,2006-08-07,1,091582868,0.4
70550,2006-08-07,1,091601297,0
70550,2006-08-07,1,118001058990,1
70550,2006-08-07,1,900118001060333,1
70550,2013-07-16,1,900118001028456,0
70550,2013-07-16,1,900118001029814,0
70550,2013-07-16,1,900118001030025,0
70550,2013-07-16,1,900118001030063,0
70550,2013-07-16,1,900118001030093,0
70550,2013-07-16,1,900118001030163,0
70550,2013-07-16,1,900118001030750,0
70550,2013-07-16,1,900118001031196,0
70550,2013-07-16,1,900118001031343,0
70550,2013-07-16,1,900118001031348,1
70550,2013-07-16,1,900118001031752,0
70550,2013-07-16,1,900118001057579,0
70550,2013-07-16,1,900118001057905,1
70550,2013-07-16,1,900118001058841,1
70550,2013-07-16,1,900118001058870,1
70550,2013-07-16,1,900118001059003,0
70550,2013-07-16,1,900118001059949,0
70550,2013-07-16,1,900118001065754,0
70550,2013-07-16,1,900118001067329,0
70550,2013-07-16,1,985121013702904,1
70556,2018-08-16,1,900043000144415,1
70556,2018-08-16,1,900043000144416,1
70556,2018-08-16,1,900043000144426,1
