relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114160,f,45,10,RKS22061,77860.6
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114117,m,51,13,RKS22060,109501.68
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114084,m,48,11,RKS22059,573.552
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114087,f,46,11,RKS22058,27655.384
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114165,f,47,12,RKS22057,270304.528
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114172,m,45,10,RKS22056,248530.624
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114163,m,47,11,RKS22055,58833.28
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114090,m,45,10,RKS22054,29326.328
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114135,m,50,13,RKS22053,7044.464
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114088,m,49,11,RKS22052,1129.568
4bd2f40f-d4c7-4c02-9959-7b97b85e2374,70370,2016-07-27,74335,translocation,900067000114116,f,50,15,RKS22051,0
4bd2f40f-d4c7-4c02-9959-7b97b85e2374,70370,2016-07-27,74335,translocation,900067000114175,m,57,23,RKS22050,1922.552
4bd2f40f-d4c7-4c02-9959-7b97b85e2374,70370,2016-07-27,74335,translocation,900067000114101,m,54,19,RKS22049,67332.2
4bd2f40f-d4c7-4c02-9959-7b97b85e2374,70370,2016-07-27,74335,translocation,900067000114146,f,59,27,RKS22048,18529.448
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000114100,f,49,10,RKS26323,179.464
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117292,f,49,12,RKS26324,827.096
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117647,m,47,10,RKS26325,153660.96
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117648,f,48,12,RKS26326,11209.064
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000114122,m,46,11,RKS26327,979.064
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078245,m,49,10,RKS22096,0
